sessiontime,pilot_index,worldpositionz,speed,throttle,steer,brake,gear,enginerpm,enginetemperature,fuelintank,currentlaptime,currentlapnum,lapdistance,totaldistance,worldpositionx,worldpositiony,lat,lon
512.91052,10,-909.63055,323,1.0,0.00123,0.0,8,11275,89,50.63959,9.45586,6,797.98633,23424.54102,-12.73735,0.50849,-33.46073810786907,-70.67196754437161
512.96143,10,-909.07275,323,1.0,0.0,0.0,8,11277,89,50.63773,9.50673,6,802.55078,23429.10547,-8.20317,0.50605,-33.460738129829096,-70.67205694367689
513.01233,10,-908.51465,323,1.0,0.0,0.0,8,11280,89,50.63588,9.55762,6,807.11914,23433.67383,-3.6652,0.50403,-33.46073814800911,-70.67214641778932
513.06323,10,-907.95703,323,1.0,0.0,0.0,8,11282,89,50.63403,9.60841,6,811.67773,23438.23242,0.86422,0.50137,-33.46073817194914,-70.67223572318133
513.11438,10,-907.39514,323,1.0,-0.0,0.0,8,11285,89,50.63216,9.65949,6,816.27148,23442.82617,5.42774,0.49851,-33.46073819768916,-70.67232570086748
513.16565,10,-906.83215,323,1.0,0.0,0.0,8,11287,89,50.63028,9.71077,6,820.87305,23447.42773,9.99982,0.49582,-33.460738221899184,-70.67241584735729
513.21686,10,-906.27014,323,1.0,0.00174,0.0,8,11289,89,50.6284,9.76194,6,825.4707,23452.02539,14.566,0.49359,-33.4607382419692,-70.67250587760827
513.26801,10,-905.70764,323,1.0,0.0,0.0,8,11291,89,50.62653,9.81309,6,830.0625,23456.61719,19.12877,0.49132,-33.460738262399225,-70.67259584060905
513.31891,10,-905.14716,323,1.0,-0.0,0.0,8,11294,89,50.62467,9.86393,6,834.63477,23461.18945,23.6694,0.48854,-33.460738287419254,-70.6726853669599
513.37238,10,-904.55731,323,1.0,0.0,0.0,8,11296,89,50.62271,9.91699,6,839.43945,23465.99414,28.4426,0.48559,-33.46073831396928,-70.67277947881387
513.42395,10,-903.98798,323,1.0,0.00123,0.0,8,11298,89,50.62083,9.9689,6,844.07227,23470.62695,33.04578,0.48303,-33.4607383370093,-70.67287023848489
513.47559,10,-903.41766,323,1.0,0.00123,0.0,8,11300,89,50.61893,10.02052,6,848.71875,23475.27344,37.66047,0.48069,-33.46073835806932,-70.67296122513794
513.52765,10,-902.84198,324,1.0,0.0,0.0,8,11302,89,50.61703,10.07253,6,853.39844,23479.95312,42.31002,0.47843,-33.460738378409346,-70.67305289913105
513.57965,10,-902.26483,324,1.0,0.0,0.0,8,11304,89,50.61513,10.12458,6,858.08203,23484.63672,46.96214,0.47557,-33.46073840414937,-70.67314462365317
513.6322,10,-901.68243,324,1.0,0.0,0.0,8,11306,89,50.6132,10.17701,6,862.81055,23489.36523,51.65804,0.47263,-33.4607384306094,-70.67323721135159
513.68481,10,-901.09808,324,1.0,0.0,0.0,8,11308,89,50.61128,10.22969,6,867.54688,23494.10156,56.36041,0.47016,-33.460738452839415,-70.67332992671658
513.73743,10,-900.51215,324,1.0,0.0,0.0,8,11310,89,50.60935,10.28234,6,872.28711,23498.8418,61.06555,0.46777,-33.46073847434944,-70.67342269670773
513.78986,10,-899.92719,324,1.0,-0.0,0.0,8,11312,89,50.60743,10.33479,6,877.00781,23503.5625,65.75065,0.46508,-33.460738498559465,-70.67351507149549
513.84259,10,-899.33832,324,1.0,0.00123,0.0,8,11314,89,50.6055,10.38737,6,881.75586,23508.31055,70.46326,0.46213,-33.46073852510949,-70.67360798862394
513.89539,10,-898.74841,324,1.0,0.00123,0.0,8,11316,89,50.60357,10.44016,6,886.50781,23513.0625,75.18034,0.45965,-33.460738547429514,-70.67370099398825
513.94836,10,-898.15417,324,1.0,0.0,0.0,8,11318,89,50.60162,10.49318,6,891.28906,23517.84375,79.92607,0.45724,-33.460738569119535,-70.6737945642488
514.00134,10,-897.55994,324,1.0,-0.00123,0.0,8,11320,89,50.59968,10.54617,6,896.06055,23522.61523,84.66347,0.4546,-33.46073859287956,-70.67388797020494
514.05383,10,-896.97009,324,1.0,-0.00123,0.0,8,11322,89,50.59776,10.59868,6,900.79102,23527.3457,89.35819,0.45162,-33.46073861969958,-70.67398053455543
